event_id,event_date,duration_hr,rainfall_mm,intensity_mm_per_hr
N01,2000-07-12,24,203.52,8.48
N02,2005-07-26,24,210.55,8.772916666666667
N03,2005-07-31,24,155.86,6.4941666666666675
N04,2005-08-01,24,160.89,6.703749999999999
N05,2006-07-05,24,174.36,7.265000000000001
N06,2006-08-06,24,228.84,9.535
N07,2006-08-07,24,172.47,7.18625
N08,2006-08-08,24,158.31,6.59625
N09,2007-06-23,24,229.46,9.560833333333333
N10,2007-07-01,24,181.99,7.582916666666667
N11,2009-07-14,24,161.1,6.7124999999999995
N12,2013-06-16,24,165.46,6.894166666666667
