event_id,event_date,duration_hr,rainfall_mm,intensity_mm_per_hr,scenario,area_km2,C,Q_peak_m3_per_s
N01,2000-07-12,24,203.52,8.48,pre_urban,738.0,0.405,704.6152416000002
N01,2000-07-12,24,203.52,8.48,post_urban,738.0,0.419,728.9723116800001
N02,2005-07-26,24,210.55,8.772916666666667,pre_urban,738.0,0.405,728.9541033750002
N02,2005-07-26,24,210.55,8.772916666666667,post_urban,738.0,0.419,754.152516825
N03,2005-07-31,24,155.86,6.494166666666668,pre_urban,738.0,0.405,539.6095300500003
N03,2005-07-31,24,155.86,6.494166666666668,post_urban,738.0,0.419,558.2626989900002
N04,2005-08-01,24,160.89,6.703749999999999,pre_urban,738.0,0.405,557.0241068250001
N04,2005-08-01,24,160.89,6.703749999999999,post_urban,738.0,0.419,576.279261135
N05,2006-07-05,24,174.36,7.265000000000001,pre_urban,738.0,0.405,603.6591663000003
N05,2006-07-05,24,174.36,7.265000000000001,post_urban,738.0,0.419,624.5263967400001
N06,2006-08-06,24,228.84,9.535,pre_urban,738.0,0.405,792.2766897000001
N06,2006-08-06,24,228.84,9.535,post_urban,738.0,0.419,819.66403206
N07,2006-08-07,24,172.47,7.18625,pre_urban,738.0,0.405,597.1157169750002
N07,2006-08-07,24,172.47,7.18625,post_urban,738.0,0.419,617.756754105
N08,2006-08-08,24,158.31,6.59625,pre_urban,738.0,0.405,548.0917791750002
N08,2006-08-08,24,158.31,6.59625,post_urban,738.0,0.419,567.0381616650001
N09,2007-06-23,24,229.46,9.560833333333331,pre_urban,738.0,0.405,794.42321805
N09,2007-06-23,24,229.46,9.560833333333331,post_urban,738.0,0.419,821.8847613899999
N10,2007-07-01,24,181.99,7.582916666666667,pre_urban,738.0,0.405,630.0753135750001
N10,2007-07-01,24,181.99,7.582916666666667,post_urban,738.0,0.419,651.8556947850001
N11,2009-07-14,24,161.1,6.7125,pre_urban,738.0,0.405,557.7511567500001
N11,2009-07-14,24,161.1,6.7125,post_urban,738.0,0.419,577.03144365
N12,2013-06-16,24,165.46,6.894166666666667,pre_urban,738.0,0.405,572.8460980500001
N12,2013-06-16,24,165.46,6.894166666666667,post_urban,738.0,0.419,592.64818539
