event_id,event_date,intensity_mm_per_hr,post_urban,pre_urban,delta_m3_per_s,percent_increase
N01,2000-07-12,8.48,728.9723116800001,704.6152416000002,24.357070079999858,3.456790123456769
N02,2005-07-26,8.772916666666667,754.152516825,728.9541033750002,25.19841344999986,3.4567901234567704
N03,2005-07-31,6.494166666666668,558.2626989900002,539.6095300500003,18.653168939999887,3.456790123456767
N04,2005-08-01,6.703749999999999,576.279261135,557.0241068250001,19.255154309999853,3.456790123456763
N05,2006-07-05,7.265000000000001,624.5263967400001,603.6591663000003,20.867230439999844,3.456790123456763
N06,2006-08-06,9.535,819.66403206,792.2766897000001,27.38734235999982,3.456790123456767
N07,2006-08-07,7.18625,617.756754105,597.1157169750002,20.64103712999986,3.4567901234567655
N08,2006-08-08,6.59625,567.0381616650001,548.0917791750002,18.946382489999905,3.4567901234567717
N09,2007-06-23,9.560833333333331,821.8847613899999,794.42321805,27.461543339999935,3.4567901234567824
N10,2007-07-01,7.582916666666667,651.8556947850001,630.0753135750001,21.780381209999973,3.456790123456785
N11,2009-07-14,6.7125,577.03144365,557.7511567500001,19.280286899999965,3.4567901234567837
N12,2013-06-16,6.894166666666667,592.64818539,572.8460980500001,19.802087339999844,3.456790123456762
