scenario,intensity_factor,intensity_mm_per_hr,Q_peak_m3_per_s
pre_urban,0.8,6.118916666666667,508.4294746950001
pre_urban,0.9,6.88378125,571.9831590318751
pre_urban,1.0,7.648645833333333,635.53684336875
pre_urban,1.1,8.413510416666668,699.0905277056253
pre_urban,1.2,9.178374999999999,762.6442120425002
post_urban,0.8,6.118916666666667,526.004814561
post_urban,0.9,6.88378125,591.7554163811251
post_urban,1.0,7.648645833333333,657.50601820125
post_urban,1.1,8.413510416666668,723.256620021375
post_urban,1.2,9.178374999999999,789.0072218414999
